Date,Price,Open Price,High Price,Low Price,Vol.,Change %
"Aug 29, 2020",11535.3,11527.8,11576.8,11433.5,388.61K,0.07%
"Aug 28, 2020",11527.4,11327.5,11539,11281.9,464.94K,1.77%
"Aug 27, 2020",11327.4,11462.3,11580.3,11135.3,560.59K,-1.18%
"Aug 26, 2020",11462.3,11324.9,11533.6,11254.6,513.06K,1.21%
"Aug 25, 2020",11324.8,11752.9,11766.9,11131,594.07K,-3.65%
"Aug 24, 2020",11753.5,11641.6,11824.6,11587.1,429.13K,0.96%
"Aug 23, 2020",11641.6,11661.1,11705.4,11520.8,377.33K,-0.17%
"Aug 22, 2020",11661.3,11529.2,11677,11382.1,433.98K,1.15%
"Aug 21, 2020",11529.2,11856.9,11877.4,11495.6,506.38K,-2.76%
"Aug 20, 2020",11856.9,11751,11881,11672.7,430.93K,0.91%
"Aug 19, 2020",11750.2,11944.4,12013.2,11602.6,550.26K,-1.65%
"Aug 18, 2020",11947.6,12283,12381.4,11842,606.79K,-2.73%
"Aug 17, 2020",12282.6,11898.8,12444.1,11764,628.41K,3.22%
"Aug 16, 2020",11899,11845.5,11922.5,11688.9,410.81K,0.45%
"Aug 15, 2020",11845.3,11751.1,11964,11711.5,499.10K,0.80%
"Aug 14, 2020",11750.8,11771.1,11835.5,11651.5,435.44K,-0.17%
"Aug 13, 2020",11770.9,11557.2,11772.9,11298.4,545.67K,1.85%
"Aug 12, 2020",11557.2,11390.4,11605.4,11190.6,549.59K,1.46%
"Aug 11, 2020",11390.4,11889.2,11931.8,11146.7,615.90K,-4.19%
"Aug 10, 2020",11889.2,11681.1,12041.1,11546.9,564.11K,1.78%
"Aug 09, 2020",11681.2,11764.4,11792.8,11527.5,303.00K,-0.71%
"Aug 08, 2020",11764.3,11591.6,11805.5,11533.5,317.06K,1.49%
"Aug 07, 2020",11592,11757.1,11901.8,11352.4,517.00K,-1.40%
"Aug 06, 2020",11757.1,11735,11898.4,11563,554.85K,0.19%
"Aug 05, 2020",11735.1,11184.8,11771.5,11114.5,570.83K,4.92%
"Aug 04, 2020",11184.7,11223.8,11407.8,11043,485.79K,-0.35%
"Aug 03, 2020",11224.4,11066.9,11461.1,10981.6,470.24K,1.42%
"Aug 02, 2020",11066.8,11802.6,12061.1,10730.7,647.95K,-6.24%
"Aug 01, 2020",11803.1,11333.2,11847.7,11226.1,611.47K,4.14%
"Jul 31, 2020",11333.4,11096.5,11434.8,10964.6,530.95K,2.14%
"Jul 30, 2020",11096.2,11105.8,11164.4,10861.6,501.14K,-0.09%
"Jul 29, 2020",11105.9,10908.4,11336.5,10771.8,576.83K,1.81%
"Jul 28, 2020",10908.5,10961.1,11046.1,10873.6,658.37K,-1.04%
